Verified Product,Verified Brand,Category,My Brand,My Product,Matched Name
Vape - King Louis XIII .5G LIIIL,STIIIZY,Flower,710 LABS,710 LABS: BRITNEY'S FROZEN LEMONS #5 SATIVA 14G,Britney's Frozen Lemons #5 Flower 14g
Vape - NORTHERN LIGHTS 1G LQD All-In-One,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: CAKE CRASHER TIER 2 BUCKET LIVE ROSIN BADDER INDICA 2.5G,The Sweeties #7 T2 Live Rosin Badder 2.5g
Vape - PURPLE HAZE 1G LQD All-In-One,STIIIZY,Concentrates,710 LABS,710 LABS: DONNY BURGER + RANDY WATZON #13 RSO INDICA 1G,710 Labs Donny Burger + Randy Watzon #13 RSO 1g
Vape - PURPLE Z 1G LQD All-In-One,STIIIZY,"Cartridge, Vape Pens",710 LABS,710 LABS: FAUX FAUNA F2 #5 LIVE ROSIN ALL-IN-ONE INDICA 1G,Faux Fauna #5 Live Rosin AIO 1g
Vape - SKYWALKER OG 1G All-In-One,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: GARLIC COCKTAIL #7 TIER 3 LIVE ROSIN BADDER INDICA 1G,710 Labs Garlic Cocktail #7 T3 Live Rosin Badder 1g
Vape - STRAWBERRY SHORTCAKE 1G LQD All-In-One,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: GRAPEFRUIT OG TIER 2 LIVE ROSIN BADDER INDICA 1G,710 Labs Grapefruit OG Persy Rosin Badder 1g
Vape - STRAWNANA LIIIL,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: GREASE BUCKET #9 TIER 3 LIVE ROSIN BADDER INDICA 1G,710 Labs Grease Bucket #9 T3 Live Rosin Badder 1g
Vape - WATERMELON Z .5G LIIIL,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: JACKSON HEIGHTZ LIVING SOIL PERSY BUCKET LIVE ROSIN BADDER INDICA 2.5G,710 Labs Jackson Heightz + Super Freak T2 Live Rosin
Vape Cartridge - ORANGE SUNSET .5G Original THC Pod - STIIIZY,STIIIZY,Flower,710 LABS,710 LABS: LEMON TART PUCKER #1 SATIVA 3.5G,Lemon Tart Pucker #1 Flower | 3.5g
Vape Cartridge - PINK RUNTZ .5G Live Resin Liquid Diamonds Pod - STIIIZY,STIIIZY,"Cartridge, Vape Pens",710 LABS,710 LABS: LOVERS LANE #12 LIVE ROSIN ALL-IN-ONE INDICA 1G,Labs Lovers Lane #12 Live Rosin AIO 1g
Vape Cartridge - PURPLE HAZE .5G Live Resin Liquid Diamonds Pod - STIIIZY,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: LUNARZ PERSY LIVE ROSIN BADDER INDICA 1G,710 Labs Lunar Z Persy Rosin Badder 1g
Vape Cartridge - PURPLE HAZE 1G Live Resin Liquid Diamonds Pod - STIIIZY,STIIIZY,"Rosin, Concentrates",710 LABS,710 LABS: MELON SODA #24 + RAMBUTAN #1 PERSY LIVE ROSIN BADDER HYBRID 1G,710 Labs Melon Soda #24 T1 Live Rosin Badder 1g
,,"Rosin, Concentrates",710 LABS,710 LABS: PIELATTI TIER 2 LIVE ROSIN BADDER INDICA 1G,710 Labs Pielatti T2 Live Rosin Badder 1g
,,"Cartridge, Vape Pens",710 LABS,710 LABS: QUEENS ZUGAR COOKIE #9 LIVE ROSIN ALL-IN-ONE HYBRID 1G,Queens Zugar Cookie #9 Live Rosin AIO 1g
,,Flower,710 LABS,710 LABS: RANDY WATZON #13 INDICA 3.5G,710 Labs Randy Watzon #13 (I/H) Flower 3.5g
,,Concentrates,710 LABS,710 LABS: RICK JAMEZ #3 PERSY LIVE ROSIN INDICA 1G,710 Labs Rick Jamez #3 Persy Rosin 1g
,,Concentrates,710 LABS,710 LABS: SUNDAE DRIVER PERSY LIVE ROSIN SAUCE INDICA 1G,Sundae Driver Persy Live Rosin | 1g
Vape Cartridge - APPLE FRITTER 1G Original THC Pod - STIIIZY,STIIIZY,Concentrates,710 LABS,710 LABS: Z CUBED #5 + ZKYSCRAPERZ #2 RSO INDICA 1G,710 Labs Z Cubed #5 + Zkyscraperz #2 RSO 1g
