Verified Product,Verified Brand,Category,My Brand,My Product,Matched Name
,,,,,
Abracadabra | Hybrid - Ultra Extract High Purity Oil -2G Vape Cartridge,HEAVY HITTERS,,,,
Acapulco Gold x Garlic Cookies | S - Live Rosin Infused 0.5g Preroll 5-Pa,HEAVY HITTERS,,,,
Alien Orange Cookies - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Apples & Bananas | Hybrid - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Big Apple | Hybrid - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Blue Dream | Sativa - Ultra Extract High Potency Oil - 0.3G All-In-One Vape,HEAVY HITTERS,,,,
Blue Sherbert | Hybrid - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
CAM: Cam's Super Glue | Hybrid - Diamond THCA-Infused Pre-Rolls-2.5G 5-Pack,HEAVY HITTERS,,,,
CAM: Cherry Limez | Hybrid - Diamond THCA-Infused Pre-Rolls-2.5G 5-Pack,HEAVY HITTERS,,,,
COTC: Gastro Z - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Cake Crasher - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Clade 9: Diamond Bar | H - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Cloudberry | Indica - Ultra Extract High Potency Oil - 0.3G All-In-One Vape,HEAVY HITTERS,,,,
Diablo OG | Indica - Ultra Extract High Potency Oil - 0.3G All-In-One Vape,HEAVY HITTERS,,,,
Diablo OG | Indica - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Durban Margy x Papaya Cake | H - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Durban Poison x Strawberry Danish | S - Live Rosin Infused PreRoll-1.6g Jel,HEAVY HITTERS,,,,
Durban Poison x Strawnana Ghost | S - Live Rosin Infused 0.5g Preroll 5-Pa,HEAVY HITTERS,,,,
Fig OG | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Forbidden Fruit | Indica - Ultra Extract High Purity Oil -1G Vape Cartridge,HEAVY HITTERS,,,,
Garlic Juice - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Garlic Z | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Gelato | Hybrid - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Georgia Pie x Z - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
God's Gift | Indica - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Grapefruit | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Grapefruit | Sativa - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Green Crack | Sativa - Lights On THCV Energy - 1G Vape Cartridge,HEAVY HITTERS,,,,
Gumbo | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Hardcore OG - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Ice Cream Cake - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Indoor Resin: CAM: Euro Step - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: CAM: Lemon Cherry Gelato - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: Durban Poison - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: J1 - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: LA Kush Cake - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: LA Pop Rocks - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: Orange Push Pop - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: Raspberry Cough - 1g Cartridge,HEAVY HITTERS,,,,
J1 x Papaya | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
J1 x Pie Hoe | Sativa - Live Rosin Infused Pre-Roll - 1.6g Jelly Joint,HEAVY HITTERS,,,,
Kiwi Melon | Sativa - Lights On THCV Energy Elixir,HEAVY HITTERS,,,,
Lemon Pastries - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Log Cabin x H.R.E.A.M | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Maui Wowie (Heritage E.) | S - Ultra Extract High Potency Oil -0.3GAll-In,HEAVY HITTERS,,,,
Melonz | Hybrid - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Midnight Cherry | Indica - Lights Out CBN Sleep - 1G Vape Cartridge,HEAVY HITTERS,,,,
Northern Lights | Indica-Ultra Extract High Potency Oil-0.3GAll-In-One Vape,HEAVY HITTERS,,,,
Orange Push Pop x Papaya Cake | I - Live Rosin Infused 0.5g Preroll 5-P,HEAVY HITTERS,,,,
Orange Push Pop x Papaya Cake | I - Live Rosin Infused Pre-Roll - 1.6gJel,HEAVY HITTERS,,,,
Orange Push Pop | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Piff | Sativa - Ultra Extract High Purity Oil -2G Vape Cartridge,HEAVY HITTERS,,,,
Pineapple Express | Hybrid-Ultra Extract HighPotencyOil-0.3G All-In-OneVape,HEAVY HITTERS,,,,
Platinum Cookies | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Ridgeline Lantz x Strawberry Rainbow |H-LiveRosinInfused0.5gPrerol5P,HEAVY HITTERS,,,,
Romulan | Indica - Ultra Extract High Purity Oil -2G Vape Cartridge,HEAVY HITTERS,,,,
Screaming Orange | Hybrid - Ultra Extract High Purity Oil-1G Vape Cartridge,HEAVY HITTERS,,,,
Spray Tan - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Strawberry Cough | Sativa-Ultra Extract High PotencyOil-0.3G All-In-OneVape,HEAVY HITTERS,,,,
The Don | Indica - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Top Shelf Cultivation: Skywalker OG - Diamond Infused Pre-Rolls | 2.5G 5-P,HEAVY HITTERS,,,,
Top Shelf Cultivation: Sour Cupcake - Diamond Infused Pre-Rolls | 2.5G 5-P,HEAVY HITTERS,,,,
Top Shelf Cultivation: Whoa Si Whoa - Diamond Infused Pre-Rolls | 2.5G 5-P,HEAVY HITTERS,,,,
Ultra Potent Tangie 1g Cartridge,HEAVY HITTERS,,,,
,,,,,
Ultra Stlth Tabs- Hybrid (50-count),HEAVY HITTERS,,,,
Ultra Stlth Tabs- Sativa (50-count),HEAVY HITTERS,,,,
Vanilla Kush | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Velvet | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Wagyu | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Watermelon OG | Indica - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
XJ-13 x GMO | Sativa - Live Rosin Infused Pre-Roll - 1.6g Jelly Joint,HEAVY HITTERS,,,,
XJ-13 | Hybrid - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Zerealz | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Zoap - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Zoap | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Acapulco Gold | Sativa - 25th Anniversary Special Edition-1G Vape Cartridge,HEAVY HITTERS,,,,
Black Cherry Gelato | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Cake Crasher | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Midnight Cherry | Indica - Lights Out CBN Sleep Elixir,HEAVY HITTERS,,,,
Sour Peach | Sativa - Fast-Acting Gummies - 100mg THC,HEAVY HITTERS,,,,
Ultra Potent Jack Herer 800mg Cartridge,HEAVY HITTERS,,,,
Alaskan Thunder F | Sativa - Ultra Extract High Purity Oil - 1G Vape Cart,HEAVY HITTERS,,,,
Pineapple Express | Hybrid-Ultra Extract HighPotencyOil-0.3G All-In-OneVape,HEAVY HITTERS,,,,
Ultra Stlth Tabs- Indica (50-count),HEAVY HITTERS,,,,
Acapulco Gold - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Apple Tartz | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Certified Boogeyman | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Durban Margy x GMO | Hybrid - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Durban Poison | Sativa - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Garlic Juice | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Jilly Bean | Indica - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Log Cabin x Sticky Papaya | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Maui Wowie (Heritage Editon) | S - Ultra Extract HighPurityOil-1G Vape Cart,HEAVY HITTERS,,,,
Nam Wah | Sativa - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Orange Push Pop x GMO | Indica - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Ridgeline Lantz x Ridgeline Lantz | H - Live Rosin Infused 0.5g Preroll 5-P,HEAVY HITTERS,,,,
Straw-Guava | Indica - 100% Pure Live Rosin Solventless Oil-1GVapeCartridge,HEAVY HITTERS,,,,
Strawberry Rainbow | H - 100% Pure Live Rosin Solventless Oil -1GVapeCart,HEAVY HITTERS,,,,
Tangie | Sativa - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Trop Cherry | H - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Zerealz | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Ultra Potent Maui Wowie 1g Cartridge,HEAVY HITTERS,,,,
Mimosa | Hybrid - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Northern Lights | Indica - Ultra Extract High Purity Oil -1G Vape Cartridge,HEAVY HITTERS,,,,
COTC: Bubble Bath - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
CAM: Permanent Marker | I - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pa,HEAVY HITTERS,,,,
Midnight Cherry | Indica - Lights Out Sleep Gummies - 100mg THC | 100mg CBN,HEAVY HITTERS,,,,
,,,,,
Indoor Resin: CAM: 92 OG - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: CAM: POP - 1g Cartridge,HEAVY HITTERS,,,,
Mango Mintality - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Wifi OG - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Guava Melonade x Grape Gas | Sativa - Live Rosin Infused 0.5g Preroll 5-Pac,HEAVY HITTERS,,,,
Gumbo | Indica - Diamond THCA-Infused Pre-Rolls - 1.5G Three-Pack,HEAVY HITTERS,,,,
Julius Ceasar [I] x Sour Peaches | (I)-Live Rosin Infused0.5gPreroll5-Pack,HEAVY HITTERS,,,,
Papaya Mango | Hybrid - Live Rosin Gummies 5-pack,HEAVY HITTERS,,,,
Super Jack x Grape Gas | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Rolls: SFV OG,HEAVY HITTERS,,,,
LA Pop Rocks x Z | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Mango Jack x Papaya | Sativa -Live Rosin Infused Pre-Roll -1.6g Jelly J,HEAVY HITTERS,,,,
Apple Tartz | Hybrid - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Acapulco Gold x Sticky Papaya | S - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Blue Dream | Sativa - Ultra Extract High Purity Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Gumbo - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Julius Ceasar x H.R.E.A.M | Indica - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
MM: Tangie | Sativa - Ultra Extract High Purity Oil-1G Vape Cartridge,HEAVY HITTERS,,,,
XJ-13 | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Gumbo | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Green Crack | Sativa - Lights On Energy Gummies - 100mg THC | 50mg THCV,HEAVY HITTERS,,,,
Pineapple Express | Hybrid -Ultra Extract High Purity Oil-1G Vape Cartridge,HEAVY HITTERS,,,,
Apples & Bananas | Hybrid - Diamond THCA-Infused Pre-Rolls - 1.5GThree-Pack,HEAVY HITTERS,,,,
GMO x Fatso | Indica - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Greenline: Orange Tree | S - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Maui Wowie | Sativa - Ultra Extract High Purity Oil-1G Vape Cartridge,HEAVY HITTERS,,,,
Vanilla Kush | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Acapulco Gold | Sativa -Ultra Extract High Potency Oil-0.3G All-In-One Vape,HEAVY HITTERS,,,,
Key Lime Pie | Hybrid -100% Pure Live Rosin Solventless Oil-1GVapeCartridge,HEAVY HITTERS,,,,
Northern Lights | Indica-Ultra Extract High Potency Oil-0.3GAll-In-One Vape,HEAVY HITTERS,,,,
Pineapple Express | Hybrid-Ultra Extract High Potency Oil-0.5G AIO Vape,HEAVY HITTERS,,,,
Rose Z | Hybrid - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Black Haze | Sativa - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Fig Bar | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Northern Lights | Indica - Ultra Extract High Potency Oil - 1G Heavy Pod,HEAVY HITTERS,,,,
,,,,,
Banana Punch | Hybrid -100% Pure Live Rosin Solventless Oil-1GVapeCartridge,HEAVY HITTERS,,,,
Can. Bros: Carbon Candy x Papaya Cake | H - LiveRosinInfuPre-Roll-1.6gJ,HEAVY HITTERS,,,,
Indoor Resin: Sour Bubba - 1g Cartridge,HEAVY HITTERS,,,,
Lemon Limez | Sativa - 100% Pure Live Rosin Solventless Oil-1GVapeCartridge,HEAVY HITTERS,,,,
Orange Tree x Pie Hoe | S - Live Rosin Infused Pre-Roll - 1.6g Jelly Joint,HEAVY HITTERS,,,,
Ridgeline Lantz | H - 100% Pure Live Rosin Solventless Oil - 1G Vape Cart,HEAVY HITTERS,,,,
Strawnana Ghost | I - 100% Pure Live Rosin Solventless Oil - 1G Vape Cart,HEAVY HITTERS,,,,
Tropicana Cherry | H - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartr,HEAVY HITTERS,,,,
1g Single Premium Cannabis Pre-Roll: SFV OG,HEAVY HITTERS,,,,
Alien Fritter | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Cherry Breeze | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Fig OG | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
G13 | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Garlic Z | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Legacy Berry | Hybrid - Ultra Extract High Purity Oil -2G Vape Cartridge,HEAVY HITTERS,,,,
Pineapple Upside Down Cake 483 Live Resin 1g Cart,HEAVY HITTERS,,,,
Ridgeline Lantz | Hybrid - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Wagyu | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
CAM: Kush Mints - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
CAM: Bubbas Girl | Hybrid - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Indoor Resin: Apple Tartz - 1g Cartridge,HEAVY HITTERS,,,,
Log Cabin x Moroccan Peaches | S - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Orange Push Pop x Strawberry Jam Jam | I - Live Rosin Infused 0.5g Preroll,HEAVY HITTERS,,,,
Strawberry Jelly | H - 100% Pure Live Rosin Solventless Oil - 1G Vape Cart,HEAVY HITTERS,,,,
Tropicana Cookies | S - 100% Pure Live Rosin Solventless Oil - 1G Vape Cart,HEAVY HITTERS,,,,
Cannabis Bros: White Fire OG 43 x ZBX - Diamond Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Citrus Tsunami x Trop Cherry | H - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Clade 9: J1 | Sativa - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Fatso | Hybrid - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartridge,HEAVY HITTERS,,,,
Indoor Resin: CAM: Kush Mints - 1g Cartridge,HEAVY HITTERS,,,,
Indoor Resin: CAM: Super Glue - 1g Cartridge,HEAVY HITTERS,,,,
J1 x Sticky Papaya | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Jack Herer x Sour Bears | Sativa - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
LA Pop Rocks x Z | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
Lemon Royale | H - 100% Pure Live Rosin Solventless Oil - 1G Vape Cartr,HEAVY HITTERS,,,,
Northern Emeralds: Dark Rainbow | H - Diamond THCA-Infus Pre-Rolls-2.5G,HEAVY HITTERS,,,,
Super Jack x Trop Cherry | Hybrid - Live Rosin Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
Velvet - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
UK Cheese - Diamond Infused Pre-Rolls | 2.5G 5-Pack,HEAVY HITTERS,,,,
Ultra Potent Infused Gummy - Blueberry Dream (I),HEAVY HITTERS,,,,
Apple Tartz | Hybrid - Diamond THCA-Infused Pre-Rolls - 1.5G Three-Pack,HEAVY HITTERS,,,,
MM: Peach Crescendo | Hybrid-Ultra Extract High Purity Oil-1G VapeCartridge,HEAVY HITTERS,,,,
Zoap | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Lights Out | Midnight Cherry 1:1 CBN,HEAVY HITTERS,,,,
Orange Tree x Acai Sherbert | Sativa - Jelly Rosin Infused0.5gPreroll5-Pa,HEAVY HITTERS,,,,
Black Haze | Sativa - Diamond THCA-Infused Pre-Rolls - 1.5G Three-Pack,HEAVY HITTERS,,,,
Cannabis Bros: Kalifornia Gas Bill #8 - Diamond Infused 0.5g Preroll 5-Pack,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Durban Poison x Strawberry Jelly,HEAVY HITTERS,,,,
HVY Grand - Fast-Acting Cannabis Beverage - 1000mg THC | 1 Liter,HEAVY HITTERS,,,,
Heavy Remix Gummy | - Ultra Pure Gummies - 100mg THC,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Alien Orange Cookies x Guava,HEAVY HITTERS,,,,
Vanilla Kush | Indica - Diamond THCA-Infused Pre-Rolls - 2.5G 5-Pack,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Alien Orange Cookies x Guava,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Animal Mints x Papaya Cake,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Baklava x Papaya Cake,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Banana Cream x Guava,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Black Cherry Gelato x Grape Pie,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Garlic OG x Grape Pie,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Melon Tangie x Jet Fuel Gelato #4,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Monster Cookies x Ghost Train Haze,HEAVY HITTERS,,,,
1.6g Jelly Rosin Infused Pre-Roll: Watermelon Punch x Biohazard,HEAVY HITTERS,,,,
1g Diamond Infused Pre-Roll: GMO Garlic Cookies,HEAVY HITTERS,,,,
1g Diamond Infused Pre-Roll: Sunset Sherbet,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Alien Orange Cookies,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Banana OG,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Chem 91,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Chem Driver,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Face-Off OG,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: GMO Cookies,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Jack Herer,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Key Lime Pie,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Kush Mints,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Lemon Dawg,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Mendo Breath,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Motor Breath,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Point Break,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Purple Kush,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Super Silver Haze,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Three Kings,HEAVY HITTERS,,,,
1g Premium Cannabis Pre-Roll: Tropicana Cookies,HEAVY HITTERS,,,,
1g Premium Pre-Roll: Pineapple Upside Down Cake,HEAVY HITTERS,,,,
1g Single Premium Cannabis Pre-Roll: NYC Diesel,HEAVY HITTERS,,,,
1g Single Premium Cannabis Pre-Roll: Stardawg,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Apple Fritter,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Apple Gelato,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Bay Breeze,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Cereal Milk,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Chem 91,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Chem Driver,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: GG4 OG,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Golden Tangie,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Ice Cream Cake,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Jack Herer,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Key Lime Pie,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Kush Mints,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Lemon Dawg,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Monster Cookies,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Motor Breath,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Purple Kush,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Sherbert,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Roll: Sundae Driver,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Rolls: NYC Diesel,HEAVY HITTERS,,,,
2 Pack Premium Cannabis Pre-Rolls: Stardawg,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: BLEM: Unruly OG,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: Bubble Bath,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: Cream of the Crop: Electric OG,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: Decibel Gardens: C-Note,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: Decibel Gardens: Roswell 47,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Day Pass,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Fortune Cookies,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Guavalicious,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Ms. Z,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Oak-Lato,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: Sugar Coded,HEAVY HITTERS,,,,
3-Pack Diamond Infused Pre-Roll: OakFruitland: V-Power,HEAVY HITTERS,,,,
Acapulco Gold | Sativa - 1G Heavy Pod System Starter Kit,HEAVY HITTERS,,,,
Acapulco Gold | Sativa - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Acapulco Gold | Sativa - Ultra Extract High Potency Oil - 1G Heavy Pod,HEAVY HITTERS,,,,
Acapulco Gold | Sativa - Ultra Extract High Potency Oil - 1G Pod,HEAVY HITTERS,,,,
Acapulco Gold | Sativa-Ultra Extract High Potency Oil-0.5GAll-In-One Vape,HEAVY HITTERS,,,,
Ace of Spades | Indica - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
Ace of Spades | Indica - Diamond THCA-Infused Pre-Rolls - 1.5G Three-Pack,HEAVY HITTERS,,,,
Alaska Thunder F | Ultra Extract High Potency Oil - 1G Reloadable AIO POD,HEAVY HITTERS,,,,
Alaskan Thunder F | S - Ultra Extract High Potency Oil -2G All-In-One Vape,HEAVY HITTERS,,,,
Alien Fritter | Hybrid - Diamond THCA-Infused Pre-Rolls - 1.5G Three-Pack,HEAVY HITTERS,,,,
Alien Orange Cookies | S/H - Diamond THCA-Infused Pre-Roll - 1G Joint,HEAVY HITTERS,,,,
